# Rime user dictionary
#@/db_name	wubi_moye
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	1360
#@/user_id	emacs@mac
shif 	想法	c=1 d=0.190139 t=1360
shn 	想	c=2 d=1.86936 t=1088
sk 	可	c=7 d=1.18945 t=1360
ss 	林	c=6 d=1.42026 t=1360
sscn 	木马	c=1 d=1 t=741
sss 	森	c=1 d=1 t=1169
ssss 	木	c=2 d=1.10807 t=1170
st 	格	c=1 d=0.147342 t=1360
su 	样	c=3 d=0.882497 t=1360
swb 	枪	c=1 d=0.181772 t=1360
swim 	检测	c=1 d=0.18452 t=1360
syc 	梳	c=1 d=0.737123 t=1360
synt 	核发	c=1 d=1 t=706
t 	和	c=7 d=0.547984 t=1360
tc 	么	c=7 d=1.06888 t=1360
tcy 	私	c=1 d=0.683861 t=1360
tdaf 	甜	c=2 d=1.99501 t=632
tdpu 	短裙	c=1 d=1 t=1227
tdut 	知道	c=3 d=1.7459 t=1352
te 	秀	c=1 d=1 t=1201
tf 	行	c=4 d=0.382308 t=1360
tffu 	等	c=2 d=1.99501 t=1324
tfk 	千	c=1 d=0.151072 t=1360
tfkd 	靠	c=2 d=1.99005 t=900
tfq 	先	c=3 d=0.693625 t=1360
tfrc 	选择	c=1 d=0.19398 t=1360
tfyr 	告诉	c=1 d=1 t=810
th 	处	c=1 d=1 t=1077
tha 	算	c=2 d=1.89137 t=637
thf 	乍	c=1 d=1 t=668
thfc 	自动	c=3 d=0.469955 t=1360
thtc 	怎么	c=2 d=1.25733 t=1360
tj 	得	c=10 d=1.89475 t=1360
tjrn 	香气	c=1 d=1 t=1204
tjt 	复	c=1 d=0.226502 t=1360
tkh 	种	c=4 d=0.425944 t=1360
tkyc 	程序	c=2 d=1.84789 t=1266
tmd 	身	c=3 d=1.39811 t=1166
tmws 	身体	c=1 d=1 t=955
tntd 	秘籍	c=1 d=0.965605 t=1360
tqq 	移	c=1 d=1 t=539
tr 	物	c=2 d=0.313486 t=1360
trrf 	物质	c=2 d=1.83527 t=701
ts 	条	c=1 d=0.985112 t=1360
tswr 	条件	c=1 d=0.211189 t=1360
ttd 	笑	c=5 d=2.48405 t=1046
ttpw 	笑容	c=1 d=1 t=634
tufh 	科	c=1 d=1 t=914
tufh 	简直	c=1 d=1 t=915
tuxj 	剩	c=1 d=1 t=507
tve 	很	c=8 d=1.22394 t=1360
twf 	符	c=1 d=1 t=942
twyi 	答应	c=1 d=1 t=830
txxy 	系统	c=3 d=0.567474 t=1360
ty 	入	c=4 d=1.17585 t=1360
tyg 	往	c=3 d=1.57737 t=1147
ub 	闻	c=1 d=1 t=1198
udep 	关爱	c=1 d=0.135335 t=1360
udgf 	关于	c=1 d=1 t=663
udh 	着	c=9 d=0.998128 t=1360
udi 	头	c=2 d=1.83527 t=829
udp 	送	c=1 d=1 t=441
udqv 	关键	c=1 d=1 t=715
uelf 	前置	c=1 d=0.210136 t=1360
ufye 	装	c=1 d=0.315058 t=1360
